file_names,register
formalSpeech_0024011.txt,formalSpeech
formalSpeech_0049473.txt,formalSpeech
formalSpeech_0095542.txt,formalSpeech
formalSpeech_0208404.txt,formalSpeech
formalSpeech_0216776.txt,formalSpeech
formalSpeech_0231831.txt,formalSpeech
formalSpeech_0233668.txt,formalSpeech
formalSpeech_0344212.txt,formalSpeech
formalSpeech_0358758.txt,formalSpeech
formalSpeech_0436493.txt,formalSpeech
formalSpeech_0468313.txt,formalSpeech
formalSpeech_0469281.txt,formalSpeech
formalSpeech_0530101.txt,formalSpeech
formalSpeech_0565725.txt,formalSpeech
formalSpeech_0634415.txt,formalSpeech
formalSpeech_0764193.txt,formalSpeech
formalSpeech_1775212.txt,formalSpeech
formalSpeech_1781416.txt,formalSpeech
formalSpeech_1781617.txt,formalSpeech
formalSpeech_3139727.txt,formalSpeech
formalSpeech_3290721.txt,formalSpeech
formalSpeech_3320992.txt,formalSpeech
formalSpeech_3347426.txt,formalSpeech
formalSpeech_3868616.txt,formalSpeech
interview_0001027.txt,interview_online
interview_0016822.txt,interview_online
interview_0029910.txt,interview_online
interview_0033895.txt,interview_online
interview_0043788.txt,interview_online
interview_0056437.txt,interview_online
interview_0068402.txt,interview_online
interview_0075665.txt,interview_online
interview_0079206.txt,interview_online
interview_0079417.txt,interview_online
interview_0088465.txt,interview_online
interview_0104774.txt,interview_online
interview_0128738.txt,interview_online
interview_0130011.txt,interview_online
interview_0135556.txt,interview_online
interview_0144225.txt,interview_online
interview_0148802.txt,interview_online
interview_0149200.txt,interview_online
interview_0150577.txt,interview_online
interview_0154982.txt,interview_online
interview_0158960.txt,interview_online
interview_0160432.txt,interview_online
interview_0167588.txt,interview_online
interview_0173347.txt,interview_online
interview_0179039.txt,interview_online
interview_0184325.txt,interview_online
interview_0184806.txt,interview_online
interview_0192949.txt,interview_online
interview_0198464.txt,interview_online
interview_0209998.txt,interview_online
interview_0210272.txt,interview_online
interview_0211214.txt,interview_online
interview_0217125.txt,interview_online
interview_0222214.txt,interview_online
interview_0222436.txt,interview_online
interview_0233487.txt,interview_online
interview_0233665.txt,interview_online
interview_0233775.txt,interview_online
interview_0234051.txt,interview_online
interview_0237767.txt,interview_online
interview_0238964.txt,interview_online
interview_0243881.txt,interview_online
interview_0265094.txt,interview_online
interview_0275515.txt,interview_online
interview_0297017.txt,interview_online
interview_0299664.txt,interview_online
interview_0300776.txt,interview_online
interview_0304100.txt,interview_online
interview_0307534.txt,interview_online
interview_0310638.txt,interview_online
interview_0313083.txt,interview_online
interview_0314482.txt,interview_online
interview_0314567.txt,interview_online
interview_0314872.txt,interview_online
interview_0315600.txt,interview_online
interview_0319585.txt,interview_online
interview_0334233.txt,interview_online
interview_0336898.txt,interview_online
interview_0339869.txt,interview_online
interview_0341439.txt,interview_online
interview_0345510.txt,interview_online
interview_0346939.txt,interview_online
interview_0349270.txt,interview_online
interview_0352261.txt,interview_online
interview_0361848.txt,interview_online
interview_0388982.txt,interview_online
interview_0389938.txt,interview_online
interview_0393744.txt,interview_online
interview_0405162.txt,interview_online
interview_0405833.txt,interview_online
interview_0408689.txt,interview_online
interview_0410555.txt,interview_online
interview_0423510.txt,interview_online
interview_0426993.txt,interview_online
interview_0427103.txt,interview_online
interview_0432465.txt,interview_online
interview_0437450.txt,interview_online
interview_0438685.txt,interview_online
interview_0438971.txt,interview_online
interview_0441248.txt,interview_online
interview_0447498.txt,interview_online
interview_0452121.txt,interview_online
interview_0461450.txt,interview_online
interview_0464439.txt,interview_online
interview_0469128.txt,interview_online
interview_0472438.txt,interview_online
interview_0473935.txt,interview_online
interview_0474475.txt,interview_online
interview_0478468.txt,interview_online
interview_0479238.txt,interview_online
interview_0486349.txt,interview_online
interview_0487142.txt,interview_online
interview_0491481.txt,interview_online
